num,objID,flag,conf,Anomaly Score,RA,Dec,u_b_exp
37205,1237680312301912406,0,0.9173,0.10299749672412872,357.076965,33.148182,21.87319160803006
37206,1237680312302240476,0,0.6229,0.022569913417100906,357.944589,33.2479,22.299639851330724
37207,1237680312302305855,0,0.6394,0.04742593318223953,358.096322,33.281953,21.592583561586732
37208,1237680312303419942,0,0.9624,0.06618224829435349,1.203369,33.300073,22.112785884263722
37209,1237680312303682329,0,0.9569,0.014983916655182838,1.908484,33.340305,22.72314039355219
37210,1237680312303878634,0,0.9293,0.05104660242795944,2.507554,33.345843,21.705776400253416
37211,1237680312303944499,0,0.9551,0.04035428166389465,2.608336,33.453844,21.880036511525578
37212,1237659935899910798,0,0.5663,0.16734731197357178,3.40063,33.480903,21.902976135152446
37213,1237680312306369288,0,0.925,0.024294545873999596,9.362611,33.384822,21.640646128571973
37214,1237680312307351801,0,0.9478,0.16209536790847778,11.920473,33.159385,22.345293396147653
37215,1237680312309056145,0,0.9516,0.03721270337700844,16.625431,32.947249,22.82420365491476
37216,1237680312309318338,0,0.5195,0.03483381122350693,17.349869,32.789604,22.287060350924996
37217,1237680312309580531,0,0.9318,0.03766050189733505,18.013852,32.843713,22.157173912537733
37218,1237680477124887094,0,0.9326,0.0539681538939476,14.399224,31.140764,21.48038888593329
37219,1237680477125017814,0,0.6512,0.1756127029657364,14.763417,31.166628,21.40667950541856
37220,1237680477125083893,0,0.9082,0.02960093691945076,15.075505,31.112453,23.000391182678086
37221,1237680477125214636,0,0.9311,0.10363948345184326,15.372815,31.192266,21.914381902804816
37222,1237680313912852872,0,0.854,0.1453944444656372,22.452548,30.404581,21.639667858441552
37223,1237680313912918338,0,0.9435,0.06480057537555695,22.682104,30.385938,22.103378203067937
37224,1237680313913115493,0,0.7604,0.20569075644016266,23.223824,30.305235,21.363164419100475
37225,1237680313914425776,0,0.8636,0.04192449897527695,26.460647,29.650725,22.233016181960057
37226,1237680313914950134,0,0.578,0.04674769937992096,27.821449,29.42401,22.46141723446084
37227,1237680313915539852,0,0.8579,0.06334462761878967,29.353086,29.155886,21.562232833039253
37228,1237680477661102514,0,0.9423,0.02938198670744896,12.741547,31.74932,23.147618907798364
37229,1237680477661495946,0,0.9669,0.12473925948143005,13.81048,31.651865,22.426090089418658
37230,1237680477662020146,0,0.8392,0.011626585386693478,15.161193,31.603329,22.705237279684795
37231,1237680477662151031,0,0.9456,0.0909186452627182,15.654274,31.545302,22.05579863395738
37232,1237680314447626475,0,0.6401,0.20990371704101562,17.036595,31.399604,21.394825934264645
37233,1237680314447954531,0,0.9489,0.02304067835211754,17.887309,31.34443,23.06851071969898
37234,1237680314449527248,0,0.7111,0.04406743496656418,21.95474,30.725759,22.065004909653226
37235,1237680314451755051,0,0.875,0.07678576558828354,27.755645,29.801431,22.26070867360611
37236,1237680314451952041,0,0.9351,0.029891589656472206,28.387794,29.814361,22.236201339372712
